benchmark,method,budget,seed,best_capability,hypervolume,hypervolume_regret,eps_pareto_hit,evals_to_threshold,auc_best_capability
gsm8k,random,12,6,0.56,0.4758245519194258,0.0719582047374197,0,,0.5433333333333334
gsm8k,random,12,7,0.56,0.48613235737269694,0.06165039928414856,0,,0.5183333333333332
gsm8k,random,12,8,0.53,0.4664455389336948,0.08133721772315072,0,,0.5191666666666668
gsm8k,random,12,9,0.62,0.5452202126523336,0.0025625440045119463,1,1,0.62
gsm8k,random,12,10,0.52,0.4542121998668683,0.09357055678997722,0,,0.5049999999999999
gsm8k,random,12,11,0.62,0.5453266883151788,0.002456068341666673,1,9,0.5466666666666666
gsm8k,random,12,12,0.59,0.5140560189545627,0.03372673770228285,0,,0.5599999999999999
gsm8k,random,12,13,0.59,0.5138249005820457,0.03395785607479984,0,,0.5608333333333332
gsm8k,random,12,14,0.59,0.5134192241343232,0.03436353252252233,0,,0.58
gsm8k,random,12,15,0.53,0.46625821582604854,0.08152454083079697,0,,0.49250000000000016
gsm8k,random,12,16,0.62,0.5446992957533138,0.0030834609035317317,1,4,0.6025
gsm8k,random,12,17,0.62,0.5444931686544785,0.0032895880023670054,1,1,0.62
gsm8k,random,12,18,0.62,0.5449711925009989,0.002811564155846602,1,11,0.5416666666666666
gsm8k,random,12,19,0.62,0.5452872855409852,0.002495471115860348,1,4,0.5516666666666667
gsm8k,random,24,0,0.59,0.5166623110212442,0.031120445635601346,0,,0.5370833333333332
gsm8k,random,24,1,0.59,0.5171837726550587,0.030598984001786844,0,,0.5662499999999999
gsm8k,random,24,2,0.62,0.5472630660161224,0.0005196906407231028,1,15,0.5754166666666664
gsm8k,random,24,3,0.62,0.5469588641040298,0.0008238925528156749,1,10,0.567083333333333
gsm8k,random,24,4,0.62,0.5475798457728023,0.0002029108840432281,1,17,0.5833333333333331
gsm8k,random,24,5,0.62,0.5457951667659454,0.0019875898909000878,1,11,0.5816666666666663
gsm8k,random,24,6,0.62,0.5463182381160905,0.001464518540755022,1,21,0.5716666666666665
gsm8k,random,24,7,0.56,0.4937085911275016,0.05407416552934391,0,,0.5391666666666669
gsm8k,random,24,8,0.62,0.545975327959011,0.0018074286978344567,1,18,0.5633333333333331
gsm8k,random,24,9,0.62,0.5459777588455098,0.0018049978113356957,1,1,0.6199999999999997
gsm8k,random,24,10,0.62,0.5442531098131179,0.003529646843727585,1,17,0.5466666666666663
gsm8k,random,24,11,0.62,0.5475526938924361,0.0002300627644094,1,9,0.583333333333333
gsm8k,random,24,12,0.62,0.5468696595783108,0.0009130970785347081,1,21,0.5799999999999997
gsm8k,random,24,13,0.62,0.5453465768351038,0.002436179821741713,1,21,0.5804166666666665
gsm8k,random,24,14,0.59,0.5173802110103052,0.030402545646540324,0,,0.5849999999999999
gsm8k,random,24,15,0.59,0.5195379264998943,0.02824483015695123,0,,0.5262500000000002
gsm8k,random,24,16,0.62,0.5456129891390459,0.0021697675177996256,1,4,0.6112499999999997
gsm8k,random,24,17,0.62,0.547320988802729,0.0004617678541165571,1,1,0.6199999999999997
gsm8k,random,24,18,0.62,0.5470450517495912,0.0007377049072543329,1,11,0.580833333333333
gsm8k,random,24,19,0.62,0.5476260638527191,0.00015669280412644593,1,4,0.5858333333333331
gsm8k,random,36,0,0.62,0.5470549143992552,0.000727842257590261,1,36,0.5555555555555556
gsm8k,random,36,1,0.59,0.5175614350714813,0.03022132158536417,0,,0.5741666666666666
gsm8k,random,36,2,0.62,0.5476260638527191,0.00015669280412644593,1,15,0.5902777777777777
gsm8k,random,36,3,0.62,0.5474310409154607,0.0003517157413848171,1,10,0.5847222222222223
gsm8k,random,36,4,0.62,0.5477827566568455,0.0,1,17,0.5955555555555556
gsm8k,random,36,5,0.62,0.547320988802729,0.0004617678541165571,1,11,0.5944444444444444
gsm8k,random,36,6,0.62,0.5477827566568455,0.0,1,21,0.5877777777777778
gsm8k,random,36,7,0.62,0.5475889533060787,0.0001938033507667969,1,34,0.5519444444444447
gsm8k,random,36,8,0.62,0.5475798457728023,0.0002029108840432281,1,18,0.5822222222222222
gsm8k,random,36,9,0.62,0.5473575572785915,0.00042519937825402643,1,1,0.62
gsm8k,random,36,10,0.62,0.5475080738471941,0.00027468280965137204,1,17,0.571111111111111
gsm8k,random,36,11,0.62,0.5477182652800813,6.449137676423078e-05,1,9,0.5955555555555555
gsm8k,random,36,12,0.62,0.5475892623682986,0.00019349428854686934,1,21,0.5933333333333333
gsm8k,random,36,13,0.62,0.5461750310592333,0.0016077255976122418,1,21,0.5936111111111111
gsm8k,random,36,14,0.62,0.5465804575627898,0.00120229909405567,1,26,0.5958333333333334
gsm8k,random,36,15,0.62,0.547253958482846,0.000528798173999534,1,34,0.5500000000000003
gsm8k,random,36,16,0.62,0.5476275925014304,0.00015516415541505513,1,4,0.6141666666666666
gsm8k,random,36,17,0.62,0.547320988802729,0.0004617678541165571,1,1,0.62
gsm8k,random,36,18,0.62,0.5475801548350222,0.00020260182182330055,1,11,0.5938888888888889
gsm8k,random,36,19,0.62,0.5477827566568455,0.0,1,4,0.5972222222222222
gsm8k,random,48,0,0.62,0.5477827566568455,0.0,1,36,0.5716666666666669
gsm8k,random,48,1,0.62,0.5477827566568455,0.0,1,46,0.58
gsm8k,random,48,2,0.62,0.5477827566568455,0.0,1,15,0.5977083333333335
