benchmark,method,budget,seed,best_capability,hypervolume,hypervolume_regret,eps_pareto_hit,evals_to_threshold,auc_best_capability
gsm8k,random,48,3,0.62,0.5477827566568455,0.0,1,10,0.593541666666667
gsm8k,random,48,4,0.62,0.5477827566568455,0.0,1,17,0.6016666666666669
gsm8k,random,48,5,0.62,0.5477827566568455,0.0,1,11,0.6008333333333336
gsm8k,random,48,6,0.62,0.5477827566568455,0.0,1,21,0.5958333333333337
gsm8k,random,48,7,0.62,0.5477827566568455,0.0,1,34,0.5689583333333338
gsm8k,random,48,8,0.62,0.5477827566568455,0.0,1,18,0.5916666666666669
gsm8k,random,48,9,0.62,0.5477827566568455,0.0,1,1,0.6200000000000002
gsm8k,random,48,10,0.62,0.5477827566568455,0.0,1,17,0.5833333333333335
gsm8k,random,48,11,0.62,0.5477827566568455,0.0,1,9,0.6016666666666669
gsm8k,random,48,12,0.62,0.5477827566568455,0.0,1,21,0.6000000000000002
gsm8k,random,48,13,0.62,0.5477827566568455,0.0,1,21,0.6002083333333336
gsm8k,random,48,14,0.62,0.5477827566568455,0.0,1,26,0.6018750000000003
gsm8k,random,48,15,0.62,0.5477827566568455,0.0,1,34,0.5675000000000004
gsm8k,random,48,16,0.62,0.5477827566568455,0.0,1,4,0.6156250000000002
gsm8k,random,48,17,0.62,0.5477827566568455,0.0,1,1,0.6200000000000002
gsm8k,random,48,18,0.62,0.5477827566568455,0.0,1,11,0.6004166666666669
gsm8k,random,48,19,0.62,0.5477827566568455,0.0,1,4,0.6029166666666669
pubmedqa,enss,12,0,0.53,0.3854026371777399,0.037515537303312196,0,,0.4975000000000001
pubmedqa,enss,12,1,0.56,0.4072123192841084,0.01570585519694373,0,,0.5550000000000002
pubmedqa,enss,12,2,0.58,0.4128663804173268,0.010051794063725306,1,4,0.5683333333333334
pubmedqa,enss,12,3,0.54,0.3924255093053676,0.030492665175684497,0,,0.5125000000000001
pubmedqa,enss,12,4,0.56,0.4072123192841084,0.01570585519694373,0,,0.5566666666666668
pubmedqa,enss,12,5,0.59,0.4182148864692349,0.0047032880118172415,1,12,0.5441666666666667
pubmedqa,enss,12,6,0.58,0.41741005714532636,0.00550811733572576,1,11,0.5633333333333335
pubmedqa,enss,12,7,0.59,0.41860193463360723,0.0043162398474448915,1,12,0.5258333333333334
pubmedqa,enss,12,8,0.54,0.3924751116950831,0.030443062785969033,0,,0.54
